Saved Date,Job Url,Job Title,Company Name
"12/7/25, 5:10 PM",http://www.linkedin.com/jobs/view/4342284740,,
"3/18/26, 8:03 PM",http://www.linkedin.com/jobs/view/4387645558,Manual QA Analyst,Lensa
"3/2/26, 4:04 PM",http://www.linkedin.com/jobs/view/4377766557,E-commerce Coordinator,Lambert Nemec Group
"10/11/24, 7:34 AM",http://www.linkedin.com/jobs/view/4031410943,"Application Analyst, Assurance",BDO Canada
"2/22/24, 10:19 AM",http://www.linkedin.com/jobs/view/3813428970,,
"7/25/25, 6:09 AM",http://www.linkedin.com/jobs/view/4275570916,,
"8/28/24, 9:40 AM",http://www.linkedin.com/jobs/view/4000352902,Manual QA Engineer,Keyloop
"5/26/26, 10:32 AM",http://www.linkedin.com/jobs/view/4419432562,Software Engineer in Test,Applicantz
"12/31/24, 5:53 AM",http://www.linkedin.com/jobs/view/4088217788,Analyst  ERP,Rogers Communications
"9/10/25, 4:58 AM",http://www.linkedin.com/jobs/view/4298225017,Quality Assurance Analyst,PrecisionERP / PrecisionIT
"8/1/25, 5:51 AM",http://www.linkedin.com/jobs/view/4275088940,Quality Assurance Analyst,Pollard Banknote Limited
"12/15/24, 7:43 PM",http://www.linkedin.com/jobs/view/4098471929,Junior QA Analyst,Leap Event Technology
"4/13/26, 7:12 AM",http://www.linkedin.com/jobs/view/4400986982,Systems Testing/QA Specialist,Teckhorizon Inc
"7/21/25, 6:10 AM",http://www.linkedin.com/jobs/view/4256195877,Quality Assurance Analyst,Randstad Digital
"2/19/26, 3:21 PM",http://www.linkedin.com/jobs/view/4375425397,HelpDesk Technician,Soroc Technology
"6/2/26, 10:46 AM",http://www.linkedin.com/jobs/view/4420249785,Package Handler (Warehouse like),FedEx Canada
"8/28/24, 9:41 AM",http://www.linkedin.com/jobs/view/3985303006,Web Application Penetration Tester,Wawanesa Insurance
"3/28/26, 8:53 AM",http://www.linkedin.com/jobs/view/4392750461,Manual QA Engineer,HiJob.work
"7/10/25, 5:29 AM",http://www.linkedin.com/jobs/view/4260944836,Associate Functional Support Analyst,Manitoba Public Insurance
"4/16/26, 8:27 PM",http://www.linkedin.com/jobs/view/4402170682,Junior Test Analyst,Vecima Networks Inc.
"5/26/25, 2:13 PM",http://www.linkedin.com/jobs/view/4231026920,,
"12/15/24, 7:42 PM",http://www.linkedin.com/jobs/view/4099219459,Senior Quality Assurance Analyst,Compunnel Inc.
"1/9/25, 8:04 AM",http://www.linkedin.com/jobs/view/4115358488,Product Analyst,Skip
"4/8/26, 6:37 PM",http://www.linkedin.com/jobs/view/4398633654,Software Test Engineer,Adecco
"8/28/24, 9:43 AM",http://www.linkedin.com/jobs/view/3999392041,Inventory Analyst,Cabela's
"3/30/26, 3:30 PM",http://www.linkedin.com/jobs/view/4392934445,Junior Software Quality Engineer,Helic & Co.
"10/7/24, 10:05 AM",http://www.linkedin.com/jobs/view/3926311072,IT Business Analyst - Red River Co-op,Federated Co-operatives Limited
"4/20/25, 8:14 PM",http://www.linkedin.com/jobs/view/4210870385,SOFTWARE SPECIALIST,Manitoba Hydro
"10/8/25, 5:51 AM",http://www.linkedin.com/jobs/view/4310994190,IT Service Asset & Configuration Management Specialist,Manitoba Public Insurance
"3/18/26, 9:43 AM",http://www.linkedin.com/jobs/view/4387407227,SDET - Playwright,Viva Tech Solutions
"6/23/25, 9:05 PM",http://www.linkedin.com/jobs/view/4246761763,IT Business Office Admin,Price Industries
"3/29/23, 7:42 AM",http://www.linkedin.com/jobs/view/3486689536,Desktop Systems Technician 2,Lifetouch
"11/14/23, 9:43 AM",http://www.linkedin.com/jobs/view/3762941822,,
"2/4/25, 8:30 AM",http://www.linkedin.com/jobs/view/4130584247,Tactical Analyst,Bison Transport Inc.
"10/6/25, 6:11 AM",http://www.linkedin.com/jobs/view/4310482668,,
"7/16/25, 5:24 AM",http://www.linkedin.com/jobs/view/4265812701,Software QA Analyst,Price Industries
"10/7/24, 10:04 AM",http://www.linkedin.com/jobs/view/4044558023,,
"11/1/24, 1:39 PM",http://www.linkedin.com/jobs/view/4063772838,Merchandising Execution Associate,The Home Depot Canada
"2/27/25, 5:57 AM",http://www.linkedin.com/jobs/view/4169442023,"Category Specialist, Apparel",Cabela's
"1/30/25, 7:14 AM",http://www.linkedin.com/jobs/view/4107911621,,
"3/16/26, 7:44 PM",http://www.linkedin.com/jobs/view/4386321865,Software Quality Analyst – Remote,Get Offers
"7/21/25, 6:03 AM",http://www.linkedin.com/jobs/view/4269568389,(Remote) Support Analyst,Harris Computer
"2/2/24, 12:03 PM",http://www.linkedin.com/jobs/view/3775485161,Production Support Analyst (fulltime),Tundra Technical Solutions
"5/28/26, 6:21 AM",http://www.linkedin.com/jobs/view/4418297504,Implementation Specialist,People Corporation
"11/17/24, 1:24 AM",http://www.linkedin.com/jobs/view/4076914303,Senior Software Quality Assurance Specialist,PrecisionERP / PrecisionIT
"4/22/26, 7:22 AM",http://www.linkedin.com/jobs/view/4404526045,CAN Driver,FedEx Canada
"2/1/23, 10:30 PM",http://www.linkedin.com/jobs/view/3428281317,Quality Assurance Tester,Alberta Blue Cross
"2/27/25, 5:56 AM",http://www.linkedin.com/jobs/view/4167310508,Inventory Coordinator,Cabela's
"3/23/23, 9:29 AM",http://www.linkedin.com/jobs/view/3472653938,ERP Data Migration Analyst,Stantec
"2/27/25, 5:55 AM",http://www.linkedin.com/jobs/view/4167398398,"Customer Care Representative, AAA",Bell
"3/9/26, 10:58 AM",http://www.linkedin.com/jobs/view/4381569449,Quality Analyst | $40/hr Remote,Crossing Hurdles
"4/11/23, 11:27 AM",http://www.linkedin.com/jobs/view/3550998719,,
"6/7/26, 11:22 AM",http://www.linkedin.com/jobs/view/4421566241,Quality Assurance Tester,Teacup Tech Systems
"7/2/25, 6:07 AM",http://www.linkedin.com/jobs/view/4256833245,,
"7/29/24, 7:27 AM",http://www.linkedin.com/jobs/view/3982902406,Tier 1 Support Analyst- Accounts,Keyloop
"7/30/25, 5:46 AM",http://www.linkedin.com/jobs/view/4273244473,Quality Analyst,Manitoba Public Insurance
"9/10/25, 6:03 AM",http://www.linkedin.com/jobs/view/4291298579,Junior QA Analyst,Gravity
"5/8/26, 4:42 AM",http://www.linkedin.com/jobs/view/4411350858,QA Analyst,Sundayy
"4/8/26, 4:50 AM",http://www.linkedin.com/jobs/view/4395949533,QA Analyst I,Best Buy Canada
"3/27/26, 4:48 AM",http://www.linkedin.com/jobs/view/4391954783,Junior QA Engineer / Junior Software Tester,Divine Match Talent
"2/19/25, 11:58 PM",http://www.linkedin.com/jobs/view/4155477096,Quality Assurance Analyst,Infotek Consulting Inc.
"4/14/26, 7:51 AM",http://www.linkedin.com/jobs/view/4401719468,business systems analyst,TransX Group of Companies
"11/19/25, 5:02 AM",http://www.linkedin.com/jobs/view/4340653108,Quality Assurance Analyst,Payworks Payroll Services Canada
"9/2/25, 5:02 AM",http://www.linkedin.com/jobs/view/4283409121,Business Systems Analyst,Valsoft Corporation
"2/3/26, 5:34 AM",http://www.linkedin.com/jobs/view/4368379629,Software Quality Engineer,Helic & Co.
"2/22/24, 10:18 AM",http://www.linkedin.com/jobs/view/3828565302,,
"9/16/24, 11:35 AM",http://www.linkedin.com/jobs/view/4027554961,Travel & Expense System Analyst,University of Manitoba
"4/30/26, 7:03 PM",http://www.linkedin.com/jobs/view/4407668296,Senior QA Engineer,ABC Fitness
"4/8/26, 6:32 PM",http://www.linkedin.com/jobs/view/4396370084,QA Engineer (Early Career) (Canada),Jobright.ai
"3/3/26, 1:49 PM",http://www.linkedin.com/jobs/view/4374305038,Associate Quality Engineer,Manulife
"9/15/25, 5:30 AM",http://www.linkedin.com/jobs/view/4300412525,Software Quality Assurance Analyst,Hyrr.ai
"9/12/24, 10:27 AM",http://www.linkedin.com/jobs/view/4023638148,Systems Support Technical Analyst,QAD
"7/25/25, 6:05 AM",http://www.linkedin.com/jobs/view/4275401322,Desktop Support Analyst 1 (Term),Motor Coach Industries
"5/26/26, 10:32 AM",http://www.linkedin.com/jobs/view/4419165272,QA Analyst,Sundayy
"4/27/26, 6:22 PM",http://www.linkedin.com/jobs/view/4407496765,QA Developer,Bally's Interactive
"5/22/26, 7:24 AM",http://www.linkedin.com/jobs/view/4417158397,Test Automation Engineer (1 Year Term),Red River Mutual
"5/29/26, 6:59 AM",http://www.linkedin.com/jobs/view/4419339919,Systems Analyst,Price Industries
"4/13/26, 10:26 AM",http://www.linkedin.com/jobs/view/4401332145,Programmer ,University of Manitoba
"4/7/26, 7:04 AM",http://www.linkedin.com/jobs/view/4395733425,QA Analyst/Business Analyst,Wolseley Canada Inc.
"2/2/26, 6:31 AM",http://www.linkedin.com/jobs/view/4356811383,"Software Developer I, Application Support",Richardson International
"11/30/25, 6:04 PM",http://www.linkedin.com/jobs/view/4347484531,Quality Automation Developer,Payworks Payroll Services Canada
"10/15/24, 8:44 PM",http://www.linkedin.com/jobs/view/4039533599,QA Software Engineer,PAR Technology
"8/26/23, 8:37 AM",http://www.linkedin.com/jobs/view/3698374979,Business Analyst,SRA Group
"3/26/26, 5:00 AM",http://www.linkedin.com/jobs/view/4390469908,QA Analyst I,Best Buy Canada
"4/20/25, 8:14 PM",http://www.linkedin.com/jobs/view/4202893203,Software QA Analyst,Price Industries
"4/20/25, 8:14 PM",http://www.linkedin.com/jobs/view/4206245135,Systems Analyst (CRM Focused),Price Industries
"1/30/25, 7:13 AM",http://www.linkedin.com/jobs/view/4114787651,Quality Assurance Analyst,The Dufresne Group
"9/9/24, 12:28 PM",http://www.linkedin.com/jobs/view/4013988093,Solutions Analyst,HEB MANITOBA
"2/11/23, 5:30 AM",http://www.linkedin.com/jobs/view/3468267981,Senior QA Engineer,Veeva Systems
"10/3/24, 12:14 PM",http://www.linkedin.com/jobs/view/4027575249,Senior Systems Analyst,Princess Auto Ltd.
"6/25/24, 9:26 AM",http://www.linkedin.com/jobs/view/3919789827,Systems Trainer - Collision,AutoCanada
"3/4/26, 8:14 AM",http://www.linkedin.com/jobs/view/4377973485,Quality Assurance Analyst,Medavie
"4/20/25, 8:10 PM",http://www.linkedin.com/jobs/view/4210547011,Desktop Support,Wawanesa Insurance
"3/18/26, 8:02 PM",http://www.linkedin.com/jobs/view/4387131016,QA Automation Engineer I,Juniper Square
"8/28/24, 9:40 AM",http://www.linkedin.com/jobs/view/3988603737,IT Support Associate (12 Month Contract),Canada Goose
"9/12/24, 10:27 AM",http://www.linkedin.com/jobs/view/4022341515,Clerk,Loblaw Companies Limited
"8/28/24, 9:42 AM",http://www.linkedin.com/jobs/view/3979021753,Data Analyst,Cabela's
"5/28/26, 5:53 AM",http://www.linkedin.com/jobs/view/4419922424,Quality & Process Specialist,FedEx Canada
"7/25/25, 6:01 AM",http://www.linkedin.com/jobs/view/4271814645,,
"1/30/25, 7:13 AM",http://www.linkedin.com/jobs/view/4136845408,Software QA Engineer,Price Industries
"4/7/26, 8:32 AM",http://www.linkedin.com/jobs/view/4395441091,QA Engineer (Early Career) (Canada),Jobright.ai
"4/6/26, 12:02 PM",http://www.linkedin.com/jobs/view/4387544116,QA Analyst,TripArc
"9/17/25, 6:53 AM",http://www.linkedin.com/jobs/view/4301685871,Information System Manager,EG Penner Building Centres Ltd.
